gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
46953,Buenos Aires,ESCUELA PRIMARIA Nº14 JUAN JOSE PASO,Estatal,RUTA NACIONAL 192 CUARTEL III S/N,ARROYO DE LA CRUZ,EXALTACION DE LA CRUZ,GPS,"-59,1089562","-34,33497946"
46955,Buenos Aires,ESCUELA PRIMARIA Nº16 HONORIA EGUREN DE ESNAOLA,Estatal,CUARTEL XVI. S/N  ESTACION LA ANGELITA,CUARTEL XVI,MERCEDES,GPS,"-59,6532124","-34,67146533"
46956,Buenos Aires,ESCUELA PRIMARIA Nº21 MARIANO MORENO,Estatal,CAMINO VIEJO A NAVARRO CUARTEL VIII S/N  LOS TRONCOS,LOS TRONCOS,MERCEDES,GPS,"-59,42322767","-34,70042626"
46957,Buenos Aires,ESCUELA PRIMARIA Nº32 GABRIELA MISTRAL,Estatal,CUARTEL XIX S/N  GOLDNEY,CUARTEL XIX,MERCEDES,GPS,"-59,3358235","-34,57678718"
46959,Buenos Aires,ESCUELA PRIMARIA Nº17 MARIANO MORENO,Estatal,ZONA RURAL   LA JULITA,LA JULITA,VILLARINO,GPS,"-62,73356764","-39,25634115"
46961,Buenos Aires,ESCUELA PRIMARIA Nº4 RAFAEL OBLIGADO,Estatal,CUARTEL III S/N  LA LECHUZA,LA LECHUZA,NAVARRO,GPS,"-59,28784843","-35,08719429"
46964,Buenos Aires,ESCUELA PRIMARIA Nº26 CARLOS SAAVEDRA LAMAS,Estatal,CUARTEL IX S/N  LA CRIOLLA,LA CRIOLLA,BRAGADO,GPS,"-60,72826052","-34,99155493"
46965,Buenos Aires,ESCUELA PRIMARIA Nº27 CONGRESO DE TUCUMAN,Estatal,CUARTEL XI   ruta 30   BOCA DE TIGRE,BOCA DE TIGRE,RAUCH,GPS,"-59,02101615","-36,40070137"
46966,Buenos Aires,ESCUELA PRIMARIA Nº38 EJERCITO ARGENTINO,Estatal,CUARTEL XI   SAN ALBERTO,SAN ALBERTO,RAUCH,GPS,"-59,05246771","-36,5700265"
46969,Buenos Aires,ESCUELA PRIMARIA Nº31 CAMPAÑA DEL DESIERTO 1879,Estatal,ZONA RURAL S/N  PARADA LA COPETA,LA COPETA,DAIREAUX,GPS,"-61,98837438","-36,76513881"
